movie_id,title,overview,release_date,runtime,budget,revenue,vote_average,vote_count,adult,original_language,tagline,release_year
8844,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",1995-12-15,104,65000000,262797249,6.9,2413,0,en,Roll the dice and unleash the excitement!,1995
31357,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",1995-12-22,127,16000000,81452156,6.1,34,0,en,Friends are the people who let you be yourself... and never let you forget it.,1995
949,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",1995-12-15,170,60000000,187436818,7.7,1886,0,en,A Los Angeles Crime Saga,1995
9091,Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",1995-12-22,106,35000000,64350171,5.5,174,0,en,Terror goes into overtime.,1995
710,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,1995-11-16,130,58000000,352194034,6.6,1194,0,en,No limits. No fears. No substitutes.,1995
9087,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",1995-11-17,106,62000000,107879496,6.5,199,0,en,Why can't the most powerful man in the world have the one thing he wants most?,1995
10858,Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",1995-12-22,192,44000000,13681765,7.1,72,0,en,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",1995
1408,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",1995-12-22,119,98000000,10017322,5.7,137,0,en,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,1995
524,Casino,The life of the gambling paradise â€“ Las Vegas â€“ and its dark mafia underbelly.,1995-11-22,178,52000000,116112375,7.8,1343,0,en,No one stays at the top forever.,1995
4584,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",1995-12-13,136,16500000,135000000,7.2,364,0,en,Lose your heart and come to your senses.,1995
5,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,1995-12-09,98,4000000,4300000,6.5,539,0,en,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",1995
9273,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",1995-11-10,90,30000000,212385533,6.1,1128,0,en,New animals. New adventures. Same hair.,1995
11517,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",1995-11-21,103,60000000,35431113,5.4,224,0,en,"Get on, or GET OUT THE WAY!",1995
8012,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",1995-10-20,105,30250000,115101622,6.4,305,0,en,"The mob is tough, but itâ€™s nothing like show business.",1995
9691,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",1995-10-06,132,50000000,30303072,6.0,394,0,en,"In the shadows of life, In the business of death, One man found a reason to live...",1995
451,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",1995-10-27,112,3600000,49800000,7.1,365,0,en,I Love You... The Way You Are.,1995
9263,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",1995-10-20,100,12000000,27400000,6.6,91,0,en,In every woman there is the girl she left behind.,1995
902,The City of Lost Children,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",1995-05-16,108,18000000,1738611,7.6,308,0,fr,Where happily ever after is just a dream.,1995
63,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",1995-12-29,129,29500000,168840000,7.4,2470,0,en,The future is history.,1995
9598,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",1995-07-18,89,30000000,254134910,6.0,756,0,en,A little pig goes a long way.,1995
9312,Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",1995-08-18,101,18000000,122195920,5.4,452,0,en,Nothing In This World Has Prepared You For This.,1995
577,To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",1995-05-20,106,20000000,21284514,6.7,177,0,en,All she wanted was a little attention.,1995
11861,How To Make An American Quilt,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancÃ© is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",1995-10-06,116,10000000,23574130,6.5,38,0,en,There's beauty in the patterns of life.,1995
807,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995-09-22,127,33000000,327311859,8.1,5915,0,en,Seven deadly sins. Seven ways to die.,1995
10530,Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",1995-06-14,81,55000000,346079773,6.7,1509,0,en,An American legend comes to life.,1995
629,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor â€“ leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",1995-07-19,106,6000000,23341568,8.1,3334,0,en,Five Criminals. One Line Up. No Coincidence.,1995
10634,Friday,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",1995-04-26,91,3500000,28215918,7.0,513,0,en,A lot can go down between thursday and saturday...,1995
755,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",1996-01-19,108,19000000,25836616,6.9,1644,0,en,One night is all that stands between them and freedom. But it's going to be a hell of a night.,1996
11859,Fair Game,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",1995-11-03,91,50000000,11534477,4.1,54,0,en,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,1995
36929,Big Bully,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",1996-01-26,90,15000000,2042530,3.9,16,0,en,A comedy for the kid in all of us.,1996
9102,Screamers,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",1995-09-08,108,20000000,5781885,6.1,154,0,en,The last scream you hear will be your own.,1995
400,Things to Do in Denver When You're Dead,A mafia film in Tarantino style with a star-studded cast. Jimmyâ€™s â€œThe Saintâ€ gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as â€œThe Man with the Plan.â€,1995-12-01,116,8000000,529766,6.7,87,0,en,Protect. Love. Honor. Avenge.,1995
9095,Mary Reilly,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",1996-02-23,104,47000000,12379402,5.7,77,0,en,The untold story of Jekyll and Hyde,1996
12158,Vampire in Brooklyn,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell.",1995-10-26,100,14000000,19800000,4.5,113,0,en,A comic tale of horror and seduction.,1995
9208,Broken Arrow,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.",1996-02-09,108,50000000,150270147,5.7,459,0,en,Prepare to Go Ballistic.,1996
13685,Bottle Rocket,"Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry.",1996-02-21,91,7000000,560069,6.8,285,0,en,"They're not really criminals, but everyone's got to have a dream.",1996
9614,Happy Gilmore,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",1996-02-16,92,12000000,41205099,6.5,767,0,en,He doesn't play golf... he destroys it.,1996
688,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,1995-05-28,135,24000000,182016617,7.3,397,0,en,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,1995
197,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",1995-05-24,177,72000000,210000000,7.7,3404,0,en,Every man dies. Not every man truly lives.,1995
103,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",1976-02-07,114,1300000,28262574,8.1,2632,0,en,"On every street in every city, there's a nobody who dreams of being a somebody.",1976
33542,Rumble in the Bronx,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head.",1995-01-30,91,7500000,32392047,6.5,245,0,cn,No Fear. No Stuntman. No Equal.,1995
78406,Steal Big Steal Little,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So when Mona leaves her fortune and estate to Ruben it starts a battle between brothers that soon leads to madness, mayhem, and even attempted murder. On Ruben's side is Lou Perilli an ex-Chicago cop and used car dealer who knows the law - and how to get around it. On Robby's side is ruthless businessman Reed Tyler, who is out to turn a swift profit on Mona's property. Walking a shifty line between them is Eddie Agopian, the family lawyer, who doesn't care which side wins as long as he's on the winner's side. But whether they're stealing big or stealing little, they're all stealing in this hilarious comedy about greed, power... and brotherly love.",1995-09-29,113,25000000,6278139,5.1,7,0,en,Two brothers. One fortune. Zero chance they'll share it.,1995
11066,Boomerang,"Marcus is a successful advertising executive who woos and beds women almost at will. After a company merger he finds that his new boss, the ravishing Jacqueline, is treating him in exactly the same way. Completely traumatised by this, his work goes badly downhill.",1992-06-30,117,40000000,70100000,5.4,139,0,en,A Player Who's About to be Played.,1992
2074,Flirting with Disaster,"Adopted as a child, new father Mel Colpin (Ben Stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy (Patricia Arquette), and an inept yet gorgeous adoption agent, Tina (Tea Leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents (Josh Brolin, Richard Jenkins).",1996-03-22,92,7000000,14702438,6.3,66,0,en,"A comedy about sex, love, family and other accidents waiting to happen.",1996
11863,Jade,"Someone does a nasty hatchet job on a San Fransisco big noise and the Assistant D.A. takes charge of the investigation. Through a web of blackmail and prostitution involving the Governor, an old lover of the law man emerges as a prime suspect and he has to deal with his personal feelings as well as the case.",1995-10-13,95,50000000,9851610,5.1,45,0,en,Some fantasies go too far.,1995
11000,The Birdcage,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancÃ©'s right-wing moralistic parents.,1996-03-08,117,31000000,185260553,6.7,303,0,en,Come as you are.,1996
9737,Bad Boys,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",1995-04-07,118,19000000,141407024,6.5,1729,0,en,Whatcha gonna do?,1995
568,Apollo 13,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",1995-06-30,140,52000000,355237933,7.3,1637,0,en,"Houston, we have a problem.",1995
11780,Rob Roy,"In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen, Rob is forced into a Robin Hood lifestyle to defend his family and honour.",1995-04-13,139,28000000,31596911,6.5,151,0,en,Honor made him a man. Courage made him a hero. History made him a legend.,1995
414,Batman Forever,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",1995-06-16,121,100000000,336529144,5.2,1529,0,en,"Courage now, truth always...",1995
5894,Blue in the Face,"Auggie runs a small tobacco shop in Brooklyn, New York. The whole neighborhood comes to visit him to buy cigarettes and have some small talk. During the movie Lou Reed tries to explain why he has to have a cut on his health insurance bill if he keeps smoking and Madonna acts as a Singing Telegram.",1995-09-15,83,2000000,1275000,6.8,28,0,en,Welcome to the planet Brooklyn.,1995
1775,Canadian Bacon,Canadian Bacon is the only fictitious film from Director Michael Moore. This comedy is about an American president who decides to go to war to bring the publicâ€™s opinion of him up during election time. Canadian Bacon is actor John Candyâ€™s last film.,1995-06-08,91,11000000,178104,5.9,57,0,en,"I'll tell ya another thing, their beer sucks!",1995
8839,Casper,"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away.",1995-05-26,100,50000000,287928194,6.0,1045,0,en,Get an afterlife,1995
20649,Clockers,"Strike is a young city drug pusher under the tutelage of drug-lord Rodney Little.When a night man at a fast-food restaurant is found with four bullets in his body, Strike's older brother turns himself in as the killer. Det. Rocco Klein doesn't buy the story, however, and sets out to find the truth, and it seems that all the fingers point toward Strike &amp; Rodney.",1995-09-15,128,25000000,13071518,6.8,69,0,en,"When there's murder on the streets, everyone is a suspect.",1995
10329,Congo,"Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes.",1995-06-09,109,50000000,152022101,5.0,214,0,en,Where you are the endangered species.,1995
8963,Crimson Tide,"On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.",1995-05-12,116,53000000,157387195,7.0,508,0,en,Danger runs deep.,1995
8068,Desperado,A gunslinger is embroiled in a war with a local drug runner.,1995-08-25,104,7000000,25405445,6.8,898,0,en,"When the smoke clears, it just means he's reloading.",1995
8512,Devil in a Blue Dress,"In late 1940s Los Angeles, Easy Rawlins is an unemployed black World War II veteran with few job prospects. At a bar, Easy meets DeWitt Albright, a mysterious white man looking for someone to investigate the disappearance of a missing white woman named Daphne Monet, who he suspects is hiding out in one of the city's black jazz clubs. Strapped for money and facing house payments, Easy takes the job, but soon finds himself in over his head.",1995-09-15,102,27000000,16140822,6.3,88,0,en,Private detective Easy Rawlins has been caught on the wrong side of the most dangerous secret in town.,1995
