movie_id,production_company_id
8844,559
8844,2550
8844,10201
31357,306
949,508
949,675
949,6194
9091,33
9091,21437
9091,23770
710,60
710,7576
9087,5
9087,97
10858,915
10858,1504
1408,183
1408,415
1408,8411
1408,14723
524,33
524,10898
524,11583
524,11584
4584,441
4584,932
5,14
5,59
9273,5682
9273,6194
9273,10210
11517,5
8012,216
8012,8411
9691,1885
9691,5358
9691,6194
9691,10308
9691,23397
9691,25061
451,60
451,15547
9263,12
902,311
902,590
902,591
902,592
902,850
902,851
902,1871
902,6639
902,7237
902,8170
902,9335
902,12009
902,18367
902,25020
902,25021
902,25129
902,47532
902,68517
902,79437
902,79438
902,79439
63,33
63,507
63,17031
9598,33
9598,2537
9312,12
9312,4174
577,364
577,441
11861,33
11861,56
807,12
807,4286
807,65394
10530,2
10530,10217
629,361
629,9168
10634,12
755,59
755,7405
755,11705
755,53009
11859,1885
11859,6194
36929,6194
36929,10210
9102,3388
9102,4899
9102,7958
9102,23096
9102,23097
9102,23098
400,14
9095,559
9095,18737
12158,4
9208,306
9208,456
9208,11362
13685,18
13685,441
9614,33
9614,1606
9614,3929
688,56
688,171
688,6194
197,4564
197,7965
197,11353
103,441
103,46059
103,46060
33542,12
33542,2521
78406,11308
11066,4
2074,14
11863,4
11000,60
9737,5
9737,10288
568,23
568,33
11780,60
11780,8989
414,6194
414,31080
5894,14
5894,30334
1775,1382
8839,33
8839,56
8839,11098
20649,33
20649,4319
10329,4
10329,7383
8963,915
8963,10288
8068,5
8068,11705
8512,559
8512,2510
1572,306
1572,1504
6520,441
6520,10158
10428,60
10428,87394
9886,559
9886,2480
9482,915
9482,1504
9071,13187
9071,13190
2293,33
2293,37
2293,11462
2293,16934
9070,306
9070,2106
9070,9255
48787,16561
48787,38959
48787,38960
1642,5
36196,37890
11980,7405
10533,915
10533,1504
10802,60
10802,183
10802,14723
10149,14
9348,8411
281,574
3512,508
3512,6194
3512,17825
3512,21480
3512,63906
9560,306
9560,2851
9804,33
9804,1073
9804,1302
9804,6092
50797,5358
50797,6453
50797,6454
76,98
76,6194
11017,6365
9382,508
9382,644
9382,5358
9382,10104
9382,16192
2292,14
2292,16934
1909,12
1909,70
8984,6194
8984,11407
8467,12
8467,11061
522,9195
27303,559
14275,8
14275,13042
1024,11
1024,14
1024,294
1024,2306
628,360
87729,2370
87729,9195
6280,33
6280,8816
11,1
11,306
18183,84803
18183,84804
4476,348
4476,559
4476,1656
28313,4
3036,70
3036,559
17402,915
1945,306
1945,802
1945,1382
241,508
241,644
241,4198
241,6194
241,10104
241,68551
6950,824
6950,2154
6950,6194
6950,16775
101,5
101,9
63020,28205
680,14
680,59
680,216
12106,559
3586,14
22586,4108
2636,2596
2636,6194
2636,11134
2164,347
2164,694
2164,10320
11395,2
11395,915
278,97
278,6194
9067,2231
193,4
25066,4319
