movie_id,spoken_language_id
8844,en
8844,fr
31357,en
949,en
949,es
9091,en
710,en
710,ru
710,es
9087,en
10858,en
1408,en
1408,la
524,en
4584,en
5,en
9273,en
11517,en
8012,en
9691,en
9691,es
9691,nl
451,en
9263,en
902,cn
902,fr
63,en
63,fr
9598,en
9312,en
577,en
11861,en
807,en
10530,en
629,es
629,en
629,fr
629,hu
10634,en
755,en
755,es
11859,en
11859,es
36929,en
9102,en
400,en
9095,en
12158,en
9208,en
13685,es
13685,en
9614,en
688,en
197,en
197,fr
197,la
103,en
103,es
33542,cn
33542,en
78406,en
11066,fr
11066,en
2074,en
11863,en
11000,en
11000,fr
9737,en
568,en
11780,en
414,en
5894,en
1775,en
8839,en
20649,en
10329,en
10329,fr
8963,en
8068,en
8512,en
1572,en
1572,de
1572,ro
6520,en
6520,fr
10428,en
10428,it
10428,ja
10428,ru
9886,en
9886,ja
9482,en
9071,en
2293,en
9070,en
48787,ru
48787,en
1642,en
1642,es
36196,en
11980,en
10533,en
10802,en
10149,en
9348,en
281,en
3512,en
9560,en
9804,en
9804,de
9804,es
50797,ru
76,en
76,de
76,fr
11017,fr
11017,es
11017,en
9382,en
2292,en
1909,en
8984,en
8467,en
522,en
27303,en
14275,en
1024,en
628,en
628,fr
87729,en
6280,en
11,en
18183,en
18183,es
4476,en
28313,en
3036,en
17402,en
1945,en
241,en
241,ja
6950,en
6950,ko
6950,fr
101,en
63020,en
680,en
680,es
680,fr
12106,en
3586,fr
3586,it
3586,ru
3586,es
3586,en
22586,en
2636,en
2164,en
2164,no
2164,sv
11395,en
278,en
9067,en
193,en
25066,en
1587,en
9271,en
2064,en
236,en
3049,en
10497,fr
10497,en
9331,en
10731,en
9495,en
888,en
13,en
712,en
10879,en
10879,fr
8587,en
1689,en
11596,en
854,sv
854,en
36593,en
2788,en
10427,en
1637,en
8831,en
36955,en
36955,fr
36955,ar
36955,de
12160,en
26352,en
22067,en
11667,en
11667,ja
8011,en
2654,en
10436,en
10436,it
4722,en
1607,en
1607,it
117553,en
6075,en
6075,es
9350,en
2124,cs
2124,en
9571,en
9739,en
9024,en
37233,en
1634,en
5503,en
35588,en
35588,fr
2019,en
9255,en
9386,en
7984,en
329,en
329,es
10909,en
9593,en
10440,en
9516,en
2320,en
788,en
11231,en
10447,en
9800,en
8291,en
8291,fr
10872,en
1245,en
11858,en
11858,es
5550,en
5550,ja
8005,en
2088,en
47889,en
14534,en
14534,es
424,de
424,pl
424,he
424,en
11592,en
8850,en
858,en
867,en
78,en
78,de
78,cn
78,ja
78,hu
10442,ru
10442,en
9607,en
17585,en
9057,en
9479,en
10057,en
11969,en
11969,la
11969,es
319,en
319,it
15139,da
15139,en
15139,fr
15139,de
15139,es
771,en
251,en
812,en
280,en
280,es
581,en
268,en
268,fr
274,en
408,en
10020,fr
10020,en
10895,en
114,en
114,it
114,ja
576,en
576,de
576,es
275,en
8766,en
10112,en
1592,en
1592,es
61752,en
10684,en
954,en
954,fr
954,cs
8840,en
10539,en
47502,en
2300,en
8069,en
40001,en
9103,en
12233,en
36355,en
9100,en
40507,es
40507,en
9802,en
664,en
10547,en
935,en
9826,en
9879,en
7095,en
627,en
602,en
9566,en
9894,en
11543,en
9268,en
9327,en
11228,en
10779,en
26748,en
26748,es
9294,en
11363,en
11363,fr
1645,en
18550,en
11962,en
2925,en
3595,en
12123,en
10830,en
3573,en
10546,en
10546,de
47907,en
10061,en
549,en
549,es
10478,en
66634,en
238,en
238,it
238,la
11134,cn
11134,en
11134,ms
11134,th
9303,en
11015,en
9306,en
10723,en
10987,en
872,en
2769,en
2769,fr
2769,de
164,en
164,pt
426,en
567,en
3078,en
213,en
284,en
239,en
4808,en
4808,fr
4808,de
4808,it
289,de
289,fr
289,it
289,en
963,en
11113,en
6620,en
6620,it
804,en
804,it
630,en
770,en
599,en
15,en
62,en
62,ru
705,en
705,fr
22490,en
22490,fr
223,en
223,fr
303,en
4174,en
381,fr
381,en
1859,en
10907,en
1939,en
3080,en
3080,it
1712,en
1712,es
220,en
3529,en
2897,en
2897,es
2897,fr
1585,en
3083,en
10331,en
488,en
488,de
488,sw
261,en
22649,en
10861,en
1770,en
9333,en
9400,en
11306,en
173,en
864,en
864,fr
864,de
864,ru
11224,en
9078,en
8367,en
433,en
11360,en
12335,en
12092,en
10948,en
15121,en
15121,fr
15121,it
562,en
562,de
562,it
10163,en
41843,en
41843,de
11412,en
10586,en
49471,en
25147,la
25147,en
454,en
10218,en
819,en
252,en
252,fr
252,de
11561,en
623,en
623,it
623,ru
583,en
11575,en
11575,it
475,en
521,en
88,en
500,en
792,en
792,vi
8491,en
402,en
10537,en
11386,en
9504,en
601,en
2119,en
744,en
702,en
21612,it
21612,en
1630,en
10379,en
2756,en
790,en
1103,en
11298,en
762,fr
762,la
762,en
49763,en
892,fr
409,de
409,it
409,ar
409,en
10161,en
10409,es
10409,en
31225,en
510,en
1891,en
2493,en
85,en
85,es
85,de
85,he
85,ar
679,en
429,it
389,en
185,en
28,en
28,fr
28,vi
335,en
1892,en
144,en
144,fr
144,de
769,it
769,en
348,en
348,es
11645,ja
539,en
525,en
240,en
240,it
240,la
240,es
600,en
600,vi
279,en
279,de
279,it
279,la
703,en
703,de
9549,en
9549,ru
387,de
387,en
387,fr
9277,en
218,en
763,en
9665,en
379,it
379,en
207,en
37247,en
1480,en
1480,es
826,ja
826,th
826,en
829,es
829,cn
829,en
3090,en
694,en
235,en
765,en
5925,en
5925,de
5925,fr
5925,ru
11778,en
11778,fr
11778,ru
11778,vi
137,en
137,fr
137,it
33,en
982,en
105,en
1633,en
11202,en
149,ja
8009,en
903,en
3034,en
3034,de
339,en
339,fi
339,fr
339,de
339,it
914,en
914,eo
756,en
288,en
665,en
11031,en
89,de
89,el
89,en
783,en
783,hi
10644,en
12104,en
625,pt
625,en
625,fr
625,hu
830,en
642,en
642,es
655,en
639,en
8077,en
814,en
571,en
6114,la
6114,ro
6114,bg
6114,el
6114,en
9529,en
1598,en
7340,en
377,en
794,en
794,it
794,la
199,en
12498,en
9279,en
21539,en
21539,es
11674,en
1573,en
1573,es
152,en
174,en
172,en
154,en
157,en
157,ru
168,en
168,fi
364,en
11967,en
621,en
9037,en
10173,en
8845,en
578,en
579,en
17692,en
75,en
75,fr
13891,en
9390,en
9390,pl
378,en
9819,en
9819,es
4232,en
9361,en
9361,fr
8818,en
8818,es
34314,en
8860,en
9619,en
26306,en
66,en
66,es
11419,en
25624,en
9366,ja
9366,en
9366,it
9403,en
10003,en
10003,ru
1624,en
16052,es
16052,en
4477,en
24662,en
24662,de
6499,en
50512,en
9360,en
816,en
2163,en
18,en
18,sv
18,de
64802,en
64802,ru
330,en
1701,en
1639,en
1639,pt
415,en
11970,en
11970,es
11970,el
8874,en
8874,fr
8874,it
266,en
266,fr
266,de
266,it
754,en
754,la
607,en
607,es
17834,en
686,en
4421,en
9387,en
2142,en
8413,en
8413,la
10336,en
20737,en
9413,en
9413,fr
8834,en
8854,en
4961,en
4961,it
9772,en
9772,ru
6072,en
6072,es
1669,en
1669,ru
2118,en
978,en
9437,en
9437,zh
10351,en
2649,cn
2649,de
2649,en
14289,en
10155,en
68924,en
2255,en
9427,en
3597,en
1813,en
1813,fr
1813,de
1813,it
1813,zh
1813,es
12628,en
12628,fr
12628,ru
782,en
782,eo
10871,en
10890,en
10890,ru
10890,pl
