spoken_language_id,language_name
en,English
fr,Français
es,Español
de,Deutsch
ru,Pусский
la,Latin
nl,Nederlands
cn,广州话 / 廣州話
zh,普通话
hu,Magyar
sq,shqip
it,Italiano
ko,한국어/조선말
fa,فارسی
da,Dansk
ja,日本語
ar,العربية
hr,Hrvatski
bs,Bosanski
ro,Română
id,Bahasa indonesia
ms,Bahasa melayu
sv,svenska
he,עִבְרִית
cs,Český
pl,Polski
ga,Gaeilge
no,Norsk
sk,Slovenčina
vi,Tiếng Việt
pt,Português
hi,हिन्दी
ca,Català
is,Íslenska
af,Afrikaans
sr,Srpski
bn,বাংলা
wo,Wolof
cy,Cymraeg
th,ภาษาไทย
lv,Latviešu
sw,Kiswahili
bg,български език
el,ελληνικά
tr,Türkçe
fi,suomi
eo,Esperanto
uk,Український
ka,ქართული
nb,Bokmål
xx,No Language
eu,euskera
az,Azərbaycan
mt,Malti
ur,اردو
zu,isiZulu
bm,Bamanankan
ps,پښتو
so,Somali
pa,ਪੰਜਾਬੀ
be,беларуская мова
ta,தமிழ்
gl,Galego
rw,Kinyarwanda
kk,қазақ
et,Eesti
lt,Lietuvikai
sl,Slovenščina
te,తెలుగు
ff,Fulfulde
uz,ozbek
ha,Hausa
